,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,2222.SR,2222.SR,2222.SR,2222.SR
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,SMA20,SD20,BollHIGH,BollLOW,SMA20,SD20,BollHIGH,BollLOW
Date,,,,,,,,,,,,,,,,,,,,
2022-04-03,35.41322326660156,35.619834899902344,35.123966217041016,35.45454406738281,33.74095153808594,7373116.0,,,,,,,,,,,34.820247650146484,1.291039078429216,37.402325807004914,32.238169493288055
2022-04-01,,,,,,,174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,172.7877960205078,78751300.0,165.86450119018554,8.732321719420423,183.3291446290264,148.39985775134468,,,,
2022-03-31,34.46281051635742,35.619834899902344,34.132232666015625,35.619834899902344,33.89825439453125,14251226.0,177.83999633789062,178.02999877929688,174.39999389648438,174.61000061035156,173.08517456054688,103049300.0,165.30750122070313,8.517920329085694,182.34334187887453,148.27166056253174,34.890495681762694,1.36355568062135,37.61760704300539,32.163384320519995
2022-03-30,34.62809753417969,34.71074295043945,34.09090805053711,34.46281051635742,32.79714584350586,5099495.0,178.5500030517578,179.61000061035156,176.6999969482422,177.77000427246094,176.21759033203125,92633200.0,164.8885009765625,8.237742553091605,181.36398608274573,148.4130158703793,34.94008235931396,1.4087578851182434,37.75759812955045,32.12256658907747
2022-03-29,34.6694221496582,34.71074295043945,34.50413131713867,34.62809753417969,32.95444869995117,5271077.0,176.69000244140625,179.00999450683594,176.33999633789062,178.9600067138672,177.39720153808594,100589400.0,164.32800064086913,7.67746259544456,179.68292583175827,148.97307544998,34.99586734771729,1.4109522596950252,37.81777186710734,32.173962828327234
2022-03-28,34.54545211791992,34.83470916748047,34.33884048461914,34.75206756591797,33.07242965698242,8079047.0,172.1699981689453,175.72999572753906,172.0,175.60000610351562,174.0665283203125,90371900.0,163.54000015258788,6.862112231990538,177.26422461656895,149.8157756886068,34.97727241516113,1.4184847118104598,37.81424183878205,32.14030299154021
2022-03-27,35.0,35.123966217041016,34.33884048461914,34.58677673339844,32.915122985839844,12627460.0,,,,,,,,,,,34.95661106109619,1.4249324813170892,37.80647602373037,32.10674609846201
2022-03-25,,,,,,,173.8800048828125,175.27999877929688,172.75,174.72000122070312,173.19422912597656,80546200.0,163.0159996032715,6.267057609110622,175.55011482149274,150.48188438505025,,,,
2022-03-24,35.3305778503418,35.619834899902344,35.123966217041016,35.20661163330078,33.505001068115234,7901457.0,171.05999755859375,174.13999938964844,170.2100067138672,174.07000732421875,172.5498809814453,90131400.0,162.52249984741212,5.655706462660163,173.83391277273245,151.2110869220918,34.91942100524902,1.4446628347941899,37.8087466748374,32.03009533566064
2022-03-23,35.41322326660156,35.41322326660156,34.6694221496582,35.20661163330078,33.505001068115234,11625262.0,167.99000549316406,172.63999938964844,167.64999389648438,170.2100067138672,168.72360229492188,98062700.0,161.95599975585938,4.9632185490560286,171.88243685397143,152.02956265774733,34.867768096923825,1.4523020362927808,37.77237216950939,31.963164024338262
